aX, aY, aZ, rX, rY, rZ
628, 11504, 12508, 4737, 201, -87,
560, 13624, 12512, 3119, 178, -82,
360, 15544, 12436, 360, -39, -81,
568, 15216, 12672, -2608, -21, -59,
712, 14692, 12552, -5295, -48, -42,
268, 14884, 12344, -8068, -139, -23,
516, 14332, 12516, -10819, -96, 12,
596, 13864, 12752, -13364, -123, 44,
200, 14352, 12244, -16297, -212, 50,
1204, 12584, 12452, -19020, -173, 82,
396, 10184, 12464, -20708, -131, 89,
732, 9228, 12524, -22167, -66, 137,
792, 8272, 12736, -23473, -10, 156,
676, 7292, 13016, -24622, 8, 154,
608, 6104, 12800, -25746, -5, 127,
288, 4656, 13132, -26540, -145, 147,
532, 2288, 13084, -26851, -213, 141,
704, 700, 13260, -26584, -179, 136,
576, -248, 13412, -26275, -202, 131,
516, -1248, 13424, -25929, -208, 143,
592, -3164, 13572, -25240, -222, 116,
688, -4536, 13568, -24269, -304, 123,
1132, -6440, 14048, -22724, -109, 131,
872, -6912, 13568, -21214, -155, 123,
744, -7012, 13904, -19944, -84, 119,
648, -7444, 13856, -19021, -112, 90,
528, -8076, 13672, -18156, -138, 71,
620, -9448, 13456, -16922, -212, 90,
504, -10096, 13384, -15520, -161, 74,
524, -10304, 13280, -14173, -84, 79,
924, -9628, 13084, -13485, -60, 40,
244, -10032, 12620, -12923, -191, 39,
512, -11492, 12520, -11957, -178, 34,
1132, -13244, 12400, -10154, -358, 20,
1484, -15072, 12520, -7582, 77, 0,
-68, -14836, 12460, -4830, -85, -33,
1504, -15052, 12820, -2325, 74, -21,
412, -15304, 12672, 460, 154, -48,
956, -15108, 12732, 3165, 345, -35,
380, -14224, 12408, 5687, 216, -131,
836, -13480, 12704, 7704, 194, -147,
536, -13048, 12640, 9580, 126, -153,
616, -12360, 12636, 11393, 157, -188,
844, -11968, 13108, 13048, 180, -186,
848, -11332, 12892, 14599, 210, -205,
552, -10304, 12872, 15895, 163, -239,
872, -9688, 13364, 17095, 179, -241,
912, -9140, 13572, 18340, 312, -234,
612, -8032, 13352, 19459, 270, -268,
480, -6712, 13628, 20221, 251, -273,
868, -4600, 13992, 20320, 281, -263,
564, -2776, 13988, 19894, 253, -274,
992, -1156, 14416, 18785, 262, -238,
600, -1044, 14920, 17790, 316, -226,
508, -432, 14772, 16941, 301, -224,
600, 484, 15168, 16002, 254, -208,
644, 1208, 15492, 15203, 206, -198,
840, 896, 15488, 14431, 248, -171,
1532, 1012, 15532, 13991, 374, -162,
180, 1228, 14828, 13824, -12, -203,
952, -424, 15088, 14685, 173, -199,
540, 268, 15348, 15965, 91, -196,
0, 2596, 15180, 16494, 262, -217,
228, 3832, 14588, 16422, 143, -203,
696, 3572, 14900, 16529, 291, -202,
416, 3700, 14188, 17163, 272, -207,
424, 4392, 13500, 17851, 220, -239,
960, 6500, 13724, 17866, 201, -231,
1008, 6612, 13708, 17837, 341, -242,
-44, 6588, 12700, 18087, 276, -175,
1328, 6812, 12856, 18693, 305, -209,
352, 9440, 12148, 18616, 419, -217,
460, 12164, 11436, 17226, 168, -183,
564, 13772, 11884, 15126, 160, -187,
800, 13764, 11808, 13003, 145, -211,
528, 12620, 11616, 11470, 247, -141,
472, 12800, 11592, 10344, 180, -146,
584, 12520, 11468, 9505, 196, -139,
416, 12748, 11092, 8767, 192, -144,
608, 12936, 10884, 8054, 174, -128,
580, 12568, 10576, 7564, 178, -138,
436, 12640, 10360, 7173, 147, -132,
292, 12620, 10176, 6922, 45, -121,
728, 12928, 10292, 6685, 162, -114,
492, 14348, 9940, 5951, 161, -96,
356, 14784, 9728, 4803, 91, -113,
652, 14808, 9776, 3627, 162, -102,
232, 16572, 9660, 2030, 142, -75,
112, 18308, 9624, -839, 62, -73,
148, 15656, 9276, -2888, -162, -68,
740, 13552, 9532, -3547, -234, -47,
632, 13944, 9960, -4059, -75, -24,
644, 15040, 9860, -5203, -12, -41,
348, 15436, 9816, -6786, -10, -10,
1072, 15604, 9984, -8556, -3, -28,
436, 15020, 9952, -10295, 22, -8,
384, 14260, 10408, -11756, 17, 27,
276, 14100, 10596, -13141, -41, 35,
784, 14324, 10688, -14781, -16, 40,
180, 14988, 10880, -17016, -109, 60,
732, 13820, 11060, -19287, -130, 79,
432, 10664, 11300, -20376, -75, 104,
456, 8256, 11692, -20255, -70, 79,
356, 7596, 12208, -19766, -142, 88,
548, 8040, 12680, -19746, -181, 58,
676, 7656, 12892, -20121, -82, 79,
456, 7036, 12972, -20419, -182, 103,
696, 5420, 13376, -20486, -143, 113,
644, 5848, 13760, -20790, -90, 144,
568, 7300, 13988, -22127, -77, 106,
320, 6076, 13824, -23790, -131, 121,
888, 3544, 13524, -24575, -150, 149,
20, -7264, 13340, -22731, -454, 53,
1388, -5496, 15148, -18367, -127, 117,
876, -1560, 15396, -16670, -69, 111,
780, -2116, 15284, -15938, 96, 81,
572, -2512, 15368, -15129, 59, 69,
536, -764, 15364, -15247, -6, 85,
208, -276, 14952, -16314, -136, 53,
672, -2276, 14800, -17094, -259, 56,
432, -4368, 14944, -16988, -160, 77,
760, -5944, 14688, -16145, -93, 55,
520, -6040, 14688, -15359, -8, 47,
808, -5880, 14640, -15013, -77, 72,
644, -6644, 14316, -14664, -109, 56,
636, -6608, 14152, -14451, -131, 45,
836, -6900, 13992, -14445, -89, 71,
580, -7236, 13664, -14519, -84, 77,
672, -8904, 13556, -14259, -64, 78,
832, -9104, 13272, -13737, -59, 45,
872, -7476, 12788, -14138, -119, 53,
228, -8480, 12308, -14777, -209, 57,
1296, -10780, 12340, -14486, -7, 72,
636, -12248, 11868, -13452, -21, 80,
